layer,code,species,DBH
E3,1,大葉桃花心木,37.05
E3,2,大葉桃花心木,31.4
E3,7,血桐,6.23
E3,8,血桐,1.71
E3,10,台灣欒樹,12.13
E3,10_1,台灣欒樹,9.66
E3,11,台灣欒樹,9.89
E3,11_1,台灣欒樹,4.76
E3,11_2,台灣欒樹,4.43
E3,12,香楠,26.92
E3,12_1,香楠,18.66
E3,16,台灣欒樹,5.55
E3,17,血桐,14.28
E1,3,血桐,4.21
E1,4,槭葉牽牛,0.15 
E1,5,海金沙,0.01 
E1,6,小花蔓澤蘭,0.02 
E1,9,兩耳草,0.18 
E1,13,姑婆芋,0.01 
E1,14,雞屎藤,0.03 
E1,15,小葉桑,0.01 
E1,18,硃砂根,0.01 
E1,19,黑板樹,0.01 
E1,20,山柚,0.01 
E1,21,南美蟛蜞菊,0.07 
E1,22,陰香,0.01 
E1,23,懸鉤子,0.01 
E1,24,薜荔,0.01 
E1,22,薜荔,0.01 
